price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,total_rooms,area_per_room,amenity_count
9310000,6550,4,2,2,1,0,0,0,1,1,1,1,6,1091.6666666666667,2
9240000,3500,4,2,2,1,0,0,1,0,2,0,2,6,583.3333333333334,2
9240000,7800,3,2,2,1,0,0,0,0,0,1,1,5,1560.0,1
9100000,6000,4,1,2,1,0,1,0,0,2,0,1,5,1200.0,2
9100000,6600,4,2,2,1,1,1,0,1,1,1,0,6,1100.0,4
8960000,8500,3,2,4,1,0,0,0,1,2,0,2,5,1700.0,2
8890000,4600,3,2,2,1,1,0,0,1,2,0,2,5,920.0,3
8855000,6420,3,2,2,1,0,0,0,1,1,1,1,5,1284.0,2
8750000,4320,3,1,2,1,0,1,1,0,2,0,1,4,1080.0,3
8680000,7155,3,2,1,1,1,1,0,1,2,0,0,5,1431.0,4
8645000,8050,3,1,1,1,1,1,0,1,1,0,2,4,2012.5,4
8645000,4560,3,2,2,1,1,1,0,1,1,0,2,5,912.0,4
8575000,8800,3,2,2,1,0,0,0,1,2,0,2,5,1760.0,2
8540000,6540,4,2,2,1,1,1,0,1,2,1,2,6,1090.0,4
8463000,6000,3,2,4,1,1,1,0,1,0,1,1,5,1200.0,4
8400000,8875,3,1,1,1,0,0,0,0,1,0,1,4,2218.75,1
8400000,7950,5,2,2,1,0,1,1,0,2,0,0,7,1135.7142857142858,3
8400000,5500,4,2,2,1,0,1,0,1,1,1,1,6,916.6666666666666,3
8400000,7475,3,2,4,1,0,0,0,1,2,0,0,5,1495.0,2
8400000,7000,3,1,4,1,0,0,0,1,2,0,1,4,1750.0,2
8295000,4880,4,2,2,1,0,0,0,1,1,1,2,6,813.3333333333334,2
8190000,5960,3,3,2,1,1,1,0,0,1,0,0,6,993.3333333333334,3
8120000,6840,5,1,2,1,1,1,0,1,1,0,2,6,1140.0,4
8080940,7000,3,2,4,1,0,0,0,1,2,0,2,5,1400.0,2
8043000,7482,3,2,3,1,0,0,1,0,1,1,2,5,1496.4,2
7980000,9000,4,2,4,1,0,0,0,1,2,0,2,6,1500.0,2
7962500,6000,3,1,4,1,1,0,0,1,2,0,0,4,1500.0,3
7910000,6000,4,2,4,1,0,0,0,1,1,0,1,6,1000.0,2
7875000,6550,3,1,2,1,0,1,0,1,0,1,2,4,1637.5,3
7840000,6360,3,2,4,1,0,0,0,1,0,1,2,5,1272.0,2
7700000,6480,3,2,4,1,0,0,0,1,2,0,0,5,1296.0,2
7700000,6000,4,2,4,1,0,0,0,0,2,0,1,6,1000.0,1
7560000,6000,4,2,4,1,0,0,0,1,1,0,2,6,1000.0,2
7560000,6000,3,2,3,1,0,0,0,1,0,0,1,5,1200.0,2
7525000,6000,3,2,4,1,0,0,0,1,1,0,2,5,1200.0,2
7490000,6600,3,1,4,1,0,0,0,1,3,1,2,4,1650.0,2
7455000,4300,3,2,2,1,0,1,0,0,1,0,0,5,860.0,2
7420000,7440,3,2,1,1,1,1,0,1,0,1,1,5,1488.0,4
7420000,7440,3,2,4,1,0,0,0,0,1,1,0,5,1488.0,1
7420000,6325,3,1,4,1,0,0,0,1,1,0,0,4,1581.25,2
7350000,6000,4,2,4,1,1,0,0,1,1,0,2,6,1000.0,3
7350000,5150,3,2,4,1,0,0,0,1,2,0,1,5,1030.0,2
7350000,6000,3,2,2,1,1,0,0,1,1,0,1,5,1200.0,3
7350000,6000,3,1,2,1,0,0,0,1,1,0,0,4,1500.0,2
7245000,9000,4,2,4,1,1,0,0,1,1,1,2,6,1500.0,3
7210000,7680,4,2,4,1,1,0,0,1,1,0,1,6,1280.0,3
7210000,6000,3,2,4,1,1,0,0,1,1,0,2,5,1200.0,3
7140000,6000,3,2,2,1,1,0,0,0,1,0,1,5,1200.0,2
7070000,8880,2,1,1,1,0,0,0,1,1,0,1,3,2960.0,2
7070000,6240,4,2,2,1,0,0,0,1,1,0,2,6,1040.0,2
7035000,6360,4,2,3,1,0,0,0,1,2,1,2,6,1060.0,2
6930000,8880,3,2,2,1,0,1,0,1,1,0,2,5,1776.0,3
6895000,7700,3,2,1,1,0,0,0,0,2,0,0,5,1540.0,1
